experiment,step,metric,value
DC-PPO (50M+50M),24908800,reward,79853.203125
DC-PPO (50M+50M),24960000,reward,79066.3046875
DC-PPO (50M+50M),25011200,reward,79350.5078125
DC-PPO (50M+50M),25062400,reward,79515.8984375
DC-PPO (50M+50M),25113600,reward,79410.921875
DC-PPO (50M+50M),25164800,reward,79065.4453125
DC-PPO (50M+50M),25216000,reward,79029.4140625
DC-PPO (50M+50M),25267200,reward,79414.015625
DC-PPO (50M+50M),25318400,reward,78822.53125
DC-PPO (50M+50M),25369600,reward,78912.1015625
DC-PPO (50M+50M),25420800,reward,79095.28125
DC-PPO (50M+50M),25472000,reward,80224.8046875
DC-PPO (50M+50M),25523200,reward,79955.15625
DC-PPO (50M+50M),25574400,reward,79805.109375
DC-PPO (50M+50M),25625600,reward,79770.3984375
DC-PPO (50M+50M),25676800,reward,79868.2890625
DC-PPO (50M+50M),25728000,reward,79178.9609375
DC-PPO (50M+50M),25779200,reward,79736.6484375
DC-PPO (50M+50M),25830400,reward,80418.7265625
DC-PPO (50M+50M),25881600,reward,79924.0234375
DC-PPO (50M+50M),25932800,reward,80005.390625
DC-PPO (50M+50M),25984000,reward,80922.5703125
DC-PPO (50M+50M),26035200,reward,81103.75
DC-PPO (50M+50M),26086400,reward,80614.9765625
DC-PPO (50M+50M),26137600,reward,80370.6953125
DC-PPO (50M+50M),26188800,reward,80169.125
DC-PPO (50M+50M),26240000,reward,80219.171875
DC-PPO (50M+50M),26291200,reward,81107.6484375
DC-PPO (50M+50M),26342400,reward,80886.5390625
DC-PPO (50M+50M),26393600,reward,80951.1796875
DC-PPO (50M+50M),26444800,reward,80972.0703125
DC-PPO (50M+50M),26496000,reward,81100.296875
DC-PPO (50M+50M),26547200,reward,81388.4453125
DC-PPO (50M+50M),26598400,reward,81458.96875
DC-PPO (50M+50M),26649600,reward,81623.0703125
DC-PPO (50M+50M),26700800,reward,81430.625
DC-PPO (50M+50M),26752000,reward,81499.296875
DC-PPO (50M+50M),26803200,reward,81284.8125
